UF,2007,2008,2009,2010,2011,2012,2013,2014,Total
AC,0,0,0,0,1,0,0,0,1
AL,122,118,126,84,109,165,156,150,1030
AM,1,2,2,9,15,23,22,20,94
AP,0,0,0,0,0,0,2,0,2
BA,106,67,129,135,218,268,327,238,1488
CE,82,43,134,201,302,324,263,128,1477
DF,8,14,9,20,32,47,129,40,299
ES,76,100,141,191,290,327,450,324,1899
GO,96,112,216,198,196,275,457,334,1884
MA,8,11,18,18,18,17,27,17,134
MG,197,223,371,413,626,820,1049,807,4506
MS,65,66,89,84,134,159,139,115,851
MT,56,125,132,155,143,131,155,82,979
PA,6,6,4,11,18,40,64,42,191
PB,13,10,2,4,12,61,87,58,247
PE,318,312,223,242,356,371,650,539,3011
PI,25,18,28,24,30,47,49,22,243
PR,921,779,787,686,758,758,829,565,6083
RJ,22,40,75,69,83,51,60,59,459
RN,6,13,11,12,17,17,10,16,102
RO,54,50,32,53,88,84,68,82,511
RR,1,0,3,2,3,6,7,22,44
RS,51,59,97,108,181,134,112,143,885
SC,158,263,296,261,279,301,319,321,2198
SE,1,0,2,9,41,39,31,18,141
SP,281,333,464,408,635,653,753,725,4252
TO,47,45,97,103,131,127,145,170,865
Total,2721,2809,3488,3500,4716,5245,6360,5037,33876
